"";"PROBEID";"ENTREZID";"SYMBOL";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"1";"205225_at";"2099";"ESR1";4,51082780541175;10,1192146550871;19,2801621922838;2,14489330487282e-25;6,780007736703e-22;47,0504161077069
"2";"209603_at";"2625";"GATA3";3,3474324014773;9,46045431410546;15,3525767338415;5,37734782945589e-21;5,66593216297003e-18;37,3788617495744
"3";"204623_at";"7033";"TFF3";4,37396651177834;9,7931469948077;13,648873551095;7,48224969609356e-19;4,73027825787035e-16;32,5999111069689
"4";"205009_at";"7031";"TFF1";4,33911570761227;9,72922616328393;10,7213993732861;8,48346035524508e-15;2,9795797981033e-12;23,4799344780488
"5";"209173_at";"10551";"AGR2";3,70782177431409;9,77843122315617;10,0881165513458;7,36931228515139e-14;1,6638854380974e-11;21,3578468321159
"6";"205044_at";"2568";"GABRP";-3,75828808512494;7,96244378013842;-9,90867471278084;1,37150278703061e-13;2,89021353986918e-11;20,747617335814
"7";"204580_at";"4321";"MMP12";-3,56592606143764;8,63828613257042;-8,03330368499781;1,10069633436739e-10;6,82215904497121e-09;14,1705408107
"8";"214079_at";"10202";"DHRS2";3,78846939882807;8,28919793796584;7,46283973715561;8,87325407193128e-10;3,420531234314e-08;12,118081580511
"9";"206378_at";"4250";"SCGB2A2";4,25090426366089;8,78948568539731;5,36920913370094;1,85352331209166e-06;1,7917392016886e-05;4,62998260312245
